MA CK,BUY DATE,BUY PRICE,KL MUA,SELL DATE,SELL PRICE,% RETURN,P/L,DATE HOLD
BAF,23/01/2025,27.400,3.650,10/03/2025,34.650,26%,26.459.854,46
HDB,06/02/2025,22.950,4.357,26/02/2025,23.050,0%,435.730,20
HHV,04/03/2025,12.286,8.140,12/03/2025,12.333,0%,384.879,8
CTG,24/03/2025,41.800,2.392,14/10/2025,56.000,34%,33.971.292,204
MBB,12/06/2025,18.581,5.382,18/08/2025,27.800,50%,49.616.313,67
SHB,17/06/2025,11.681,8.561,06/08/2025,16.594,42%,42.054.657,50
VHM,17/06/2025,69.600,1.437,14/10/2025,124.200,78%,78.448.276,119
FCN,20/06/2025,14.150,7.067,19/08/2025,19.000,34%,34.275.618,60
HHS,30/06/2025,15.250,6.557,01/08/2025,18.600,22%,21.967.213,32
POW,03/07/2025,13.250,7.547,19/08/2025,16.200,22%,22.264.151,47
GEE,14/07/2025,96.611,1.035,31/07/2025,123.900,28%,28.246.750,17
MSN,28/07/2025,77.600,1.289,14/10/2025,84900,9%,9.407.216,78
LPB,04/08/2025,34.700,2.882,27/08/2025,43.800,26%,26.224.784,23
TCB,04/08/2025,34.438,2.904,22/08/2025,37.900,10%,10.053.622,18
HHS,07/08/2025,17.700,5.650,20/08/2025,17.200,-3%,-2.824.859,13
TCH,08/08/2025,21.362,4.681,21/08/2025,21.350,0%,-54.206,13
DXS,26/08/2025,12.050,8.299,17/09/2025,12.950,7%,7.468.880,22
KSB,26/08/2025,19.000,5.263,16/09/2025,22.200,17%,16.842.105,21
IJC,27/08/2025,11.794,8.479,16/09/2025,13.678,16%,15.972.626,20
HPX,29/08/2025,5.590,17.889,05/09/2025,5.490,-2%,-1.788.909,7
HHV,03/09/2025,15.250,6.557,14/10/2025,19.100,25%,25.245.902,41
LDG,03/09/2025,5.190,19.268,08/09/2025,4.860,-6%,-6.358.382,5
NAB,04/09/2025,16.300,6.135,10/09/2025,15.500,-5%,-4.907.975,6
HDB,10/09/2025,31.600,3.165,17/09/2025,30.950,-2%,-2.056.962,7
SHB,10/09/2025,17.800,5.618,22/09/2025,17.350,-3%,-2.528.090,12
LPB,15/09/2025,44.550,2.245,14/10/2025,52.500,18%,17.845.118,29
VND,15/09/2025,24.600,4.065,18/09/2025,23.350,-5%,-5.081.301,3
AAA,24/09/2025,8.110,12.330,29/09/2025,8.600,6%,6.041.924,5
HHV,24/09/2025,15.400,6.494,30/09/2025,16.300,6%,5.844.156,6
HSG,24/09/2025,19.400,5.155,30/09/2025,18.750,-3%,-3.350.515,6
TCB,24/09/2025,37.799,2.646,14/10/2025,41.300,9%,9.262.938,20
TCH,24/09/2025,21.700,4.608,14/10/2025,25.850,19%,19.124.424,20
CTS,29/09/2025,41.700,2.398,14/10/2025,44.800,7%,7.434.053,15
VIC,09/09/2025,129.200,774,17/10/2025,204.000,58%,57.894.737,38
VRE,29/09/2025,30.000,3.333,17/10/2025,41.000,37%,36.666.667,18
HDC,26/08/2025,35.000,2.857,17/10/2025,41.000,17%,17.142.857,52
VNM,30/09/2025,57.312,1.745,17/10/2025,58.800,3%,2.596.315,11
HDG,08/10/2025,32.400,3.086,20/10/2025,32.150,-1%,-771.500,12
KHG,08/10/2025,6.980,14.327,20/10/2025,6.510,-7%,-6.733.690,12
GMD,15/10/2025,69000,1450,20/10/2025,63.300,-8%,-8.265.000,5
NVL,16/10/2025,16250,6154,20/10/2025,15.450,-5%,-4.923.200,4
MSN,16/10/2025,88200,1134,20/10/2025,81.900,-7%,-7.144.200,4
NTL,17/10/2025,20300,4926,20/10/2025,18.900,-7%,-6.896.400,3
ICT,16/10/2025,18200,5495,11/11/2025,24.600,35%,35.168.000,26
